year,team_id,league,city,nickname
1949,BSN,N,Boston,Braves
1949,CHN,N,Chicago,Cubs
1949,CIN,N,Cincinnati,Reds
1949,NY1,N,New York,Giants
1949,PHI,N,Philadelphia,Phillies
1949,PIT,N,Pittsburgh,Pirates
1949,SLN,N,St.Louis,Cardinals
1950,BOS,A,Boston,Red Sox
1950,CHA,A,Chicago,White Sox
1950,CLE,A,Cleveland,Indians
1950,DET,A,Detroit,Tigers
1950,NYA,A,New York,Yankees
1950,PHA,A,Philadelphia,Athletics
1950,SLA,A,St.Louis,Browns
1950,WS1,A,Washington,Senators
1950,BRO,N,Brooklyn,Dodgers
1950,BSN,N,Boston,Braves
1950,CHN,N,Chicago,Cubs
1950,CIN,N,Cincinnati,Reds
1950,NY1,N,New York,Giants
1950,PHI,N,Philadelphia,Phillies
1950,PIT,N,Pittsburgh,Pirates
1950,SLN,N,St.Louis,Cardinals
1951,BOS,A,Boston,Red Sox
1951,CHA,A,Chicago,White Sox
1951,CLE,A,Cleveland,Indians
1951,DET,A,Detroit,Tigers
1951,NYA,A,New York,Yankees
1951,PHA,A,Philadelphia,Athletics
1951,SLA,A,St.Louis,Browns
1951,WS1,A,Washington,Senators
1951,BRO,N,Brooklyn,Dodgers
1951,BSN,N,Boston,Braves
1951,CHN,N,Chicago,Cubs
1951,CIN,N,Cincinnati,Reds
1951,NY1,N,New York,Giants
1951,PHI,N,Philadelphia,Phillies
1951,PIT,N,Pittsburgh,Pirates
1951,SLN,N,St.Louis,Cardinals
1952,BOS,A,Boston,Red Sox
1952,CHA,A,Chicago,White Sox
1952,CLE,A,Cleveland,Indians
1952,DET,A,Detroit,Tigers
1952,NYA,A,New York,Yankees
1952,PHA,A,Philadelphia,Athletics
1952,SLA,A,St.Louis,Browns
1952,WS1,A,Washington,Senators
1952,BRO,N,Brooklyn,Dodgers
1952,BSN,N,Boston,Braves
1952,CHN,N,Chicago,Cubs
1952,CIN,N,Cincinnati,Reds
1952,NY1,N,New York,Giants
1952,PHI,N,Philadelphia,Phillies
1952,PIT,N,Pittsburgh,Pirates
1952,SLN,N,St.Louis,Cardinals
1953,BOS,A,Boston,Red Sox
1953,CHA,A,Chicago,White Sox
1953,CLE,A,Cleveland,Indians
1953,DET,A,Detroit,Tigers
1953,NYA,A,New York,Yankees
1953,PHA,A,Philadelphia,Athletics
1953,SLA,A,St.Louis,Browns
1953,WS1,A,Washington,Senators
1953,BRO,N,Brooklyn,Dodgers
1953,CHN,N,Chicago,Cubs
1953,CIN,N,Cincinnati,Reds
1953,MLN,N,Milwaukee,Braves
1953,NY1,N,New York,Giants
1953,PHI,N,Philadelphia,Phillies
1953,PIT,N,Pittsburgh,Pirates
1953,SLN,N,St.Louis,Cardinals
1954,BAL,A,Baltimore,Orioles
1954,BOS,A,Boston,Red Sox
1954,CHA,A,Chicago,White Sox
1954,CLE,A,Cleveland,Indians
1954,DET,A,Detroit,Tigers
1954,NYA,A,New York,Yankees
1954,PHA,A,Philadelphia,Athletics
1954,WS1,A,Washington,Senators
1954,BRO,N,Brooklyn,Dodgers
1954,CHN,N,Chicago,Cubs
1954,CIN,N,Cincinnati,Reds
1954,MLN,N,Milwaukee,Braves
1954,NY1,N,New York,Giants
1954,PHI,N,Philadelphia,Phillies
1954,PIT,N,Pittsburgh,Pirates
1954,SLN,N,St.Louis,Cardinals
1955,BAL,A,Baltimore,Orioles
1955,BOS,A,Boston,Red Sox
1955,CHA,A,Chicago,White Sox
1955,CLE,A,Cleveland,Indians
1955,DET,A,Detroit,Tigers
1955,KC1,A,Kansas City,Athletics
1955,NYA,A,New York,Yankees
1955,WS1,A,Washington,Senators
1955,BRO,N,Brooklyn,Dodgers
1955,CHN,N,Chicago,Cubs
1955,CIN,N,Cincinnati,Reds
1955,MLN,N,Milwaukee,Braves
1955,NY1,N,New York,Giants
1955,PHI,N,Philadelphia,Phillies
1955,PIT,N,Pittsburgh,Pirates
1955,SLN,N,St.Louis,Cardinals
1956,BAL,A,Baltimore,Orioles
1956,BOS,A,Boston,Red Sox
1956,CHA,A,Chicago,White Sox
1956,CLE,A,Cleveland,Indians
1956,DET,A,Detroit,Tigers
1956,KC1,A,Kansas City,Athletics
1956,NYA,A,New York,Yankees
1956,WS1,A,Washington,Senators
